Leadership is the art of getting someone else to do something you want done because he wants to do it.|Dwight D. Eisenhower
Old soldiers never die; they just fade away.|Douglas MacArthur
Duty, Honor, Country. Those three hallowed words reverently dictate what you ought to be, what you can be, what you will be.|Douglas MacArthur
Every member of our baseball team at West Point became a general: this proves the value of team sports.|Omar N. Bradley
I've led a life of such structured discipline and always had a goal in mind of knowing what I was doing, from West Point to the Air Force combat, MIT, looking for new things to study and get involved in. And then I got into the space program, and how disciplined can you get?|Buzz Aldrin
Weak people revenge. Strong people forgive. Intelligent People Ignore.|Albert Einstein
We cannot teach people anything; we can only help them discover it within themselves.|Galileo Galilei
The best thing to give to your enemy is forgiveness; to an opponent, tolerance; to a friend, your heart; to your child, a good example; to a father, deference; to your mother, conduct that will make her proud of you; to yourself, respect; to all others, charity.|Benjamin Franklin
Common sense is something that everyone needs, few have, and none think they lack.|Benjamin Franklin
Tricks and treachery are the practice of fools, that don't have brains enough to be honest.|Benjamin Franklin
The Eyes are the window to your soul|William Shakespeare
It is not in the stars to hold our destiny but in ourselves.|William Shakespeare
The most important thing in life is to stop saying 'I wish' and start saying 'I will.' Consider nothing impossible, then treat possibilities as probabilities.|Charles Dickens
A very little key will open a very heavy door.|Charles Dickens
